CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0031408111422004VY0F;01/01/2021;0;0,252;R
ES0031408111422004VY0F;01/01/2021;1;0,23;R
ES0031408111422004VY0F;01/01/2021;2;0,148;R
ES0031408111422004VY0F;01/01/2021;3;0,148;R
ES0031408111422004VY0F;01/01/2021;4;0,149;R
ES0031408111422004VY0F;01/01/2021;5;0,172;R
ES0031408111422004VY0F;01/01/2021;6;0,194;R
ES0031408111422004VY0F;01/01/2021;7;0,174;R
ES0031408111422004VY0F;01/01/2021;8;0,151;R
ES0031408111422004VY0F;01/01/2021;9;0,199;R
ES0031408111422004VY0F;01/01/2021;10;0,245;R
ES0031408111422004VY0F;01/01/2021;11;0,224;R
ES0031408111422004VY0F;01/01/2021;12;0,289;R
ES0031408111422004VY0F;01/01/2021;13;0,165;R
ES0031408111422004VY0F;01/01/2021;14;0,125;R
ES0031408111422004VY0F;01/01/2021;15;0,163;R
ES0031408111422004VY0F;01/01/2021;16;0,177;R
ES0031408111422004VY0F;01/01/2021;17;0,172;R
ES0031408111422004VY0F;01/01/2021;18;0,128;R
ES0031408111422004VY0F;01/01/2021;19;0,139;R
ES0031408111422004VY0F;01/01/2021;20;0,131;R
ES0031408111422004VY0F;01/01/2021;21;0,793;R
ES0031408111422004VY0F;01/01/2021;22;0,766;R
ES0031408111422004VY0F;01/01/2021;23;0,223;R
ES0031408111422004VY0F;02/01/2021;0;0,167;R
ES0031408111422004VY0F;02/01/2021;1;0,137;R
ES0031408111422004VY0F;02/01/2021;2;0,209;R
ES0031408111422004VY0F;02/01/2021;3;0,182;R
ES0031408111422004VY0F;02/01/2021;4;0,136;R
ES0031408111422004VY0F;02/01/2021;5;0,138;R
ES0031408111422004VY0F;02/01/2021;6;0,12;R
ES0031408111422004VY0F;02/01/2021;7;0,118;R
ES0031408111422004VY0F;02/01/2021;8;0,116;R
ES0031408111422004VY0F;02/01/2021;9;0,241;R
ES0031408111422004VY0F;02/01/2021;10;0,263;R
ES0031408111422004VY0F;02/01/2021;11;0,42;R
ES0031408111422004VY0F;02/01/2021;12;0,531;R
ES0031408111422004VY0F;02/01/2021;13;0,579;R
ES0031408111422004VY0F;02/01/2021;14;0,287;R
ES0031408111422004VY0F;02/01/2021;15;0,199;R
ES0031408111422004VY0F;02/01/2021;16;0,198;R
ES0031408111422004VY0F;02/01/2021;17;0,21;R
ES0031408111422004VY0F;02/01/2021;18;0,321;R
ES0031408111422004VY0F;02/01/2021;19;0,15;R
ES0031408111422004VY0F;02/01/2021;20;0,215;R
ES0031408111422004VY0F;02/01/2021;21;0,418;R
ES0031408111422004VY0F;02/01/2021;22;0,299;R
ES0031408111422004VY0F;02/01/2021;23;0,252;R
ES0031408111422004VY0F;03/01/2021;0;0,24;R
ES0031408111422004VY0F;03/01/2021;1;0,176;R
ES0031408111422004VY0F;03/01/2021;2;0,13;R
ES0031408111422004VY0F;03/01/2021;3;0,143;R
ES0031408111422004VY0F;03/01/2021;4;0,123;R
ES0031408111422004VY0F;03/01/2021;5;0,124;R
ES0031408111422004VY0F;03/01/2021;6;0,137;R
ES0031408111422004VY0F;03/01/2021;7;0,125;R
ES0031408111422004VY0F;03/01/2021;8;0,189;R
ES0031408111422004VY0F;03/01/2021;9;0,193;R
ES0031408111422004VY0F;03/01/2021;10;0,325;R
